id,name,specialization,contact,experience
1,Dr. Rajiv Menon,Cardiologist,dr..rajiv.menon@example.in,14
2,Dr. Anjali Nair,Cardiologist,dr..anjali.nair@example.in,8
3,Dr. Karan Iyer,Cardiologist,dr..karan.iyer@example.in,18
4,Dr. Sneha Kapoor,Dermatologist,dr..sneha.kapoor@example.in,29
5,Dr. Vikram Sharma,Dermatologist,dr..vikram.sharma@example.in,20
6,Dr. Neha Reddy,Dermatologist,dr..neha.reddy@example.in,26
7,Dr. Arjun Rao,Neurologist,dr..arjun.rao@example.in,17
8,Dr. Meera Patel,Neurologist,dr..meera.patel@example.in,27
9,Dr. Sandeep Verma,Neurologist,dr..sandeep.verma@example.in,12
10,Dr. Rohit Malhotra,Orthopedic,dr..rohit.malhotra@example.in,5
11,Dr. Kavita Desai,Orthopedic,dr..kavita.desai@example.in,34
12,Dr. Nitin Joshi,Orthopedic,dr..nitin.joshi@example.in,24
13,Dr. Priya Mishra,Pediatrician,dr..priya.mishra@example.in,32
14,Dr. Amit Kulkarni,Pediatrician,dr..amit.kulkarni@example.in,13
15,Dr. Swati Jain,Pediatrician,dr..swati.jain@example.in,15
16,Dr. Rakesh Sinha,Psychiatrist,dr..rakesh.sinha@example.in,6
17,Dr. Divya Bhatt,Psychiatrist,dr..divya.bhatt@example.in,19
18,Dr. Tarun Khanna,Psychiatrist,dr..tarun.khanna@example.in,17
19,Dr. Manish Thakur,Oncologist,dr..manish.thakur@example.in,31
20,Dr. Preeti Singh,Oncologist,dr..preeti.singh@example.in,35
21,Dr. Alok Pandey,Oncologist,dr..alok.pandey@example.in,18
22,Dr. Shalini Batra,Gynecologist,dr..shalini.batra@example.in,10
23,Dr. Ritu Ahuja,Gynecologist,dr..ritu.ahuja@example.in,15
24,Dr. Deepak Agarwal,Gynecologist,dr..deepak.agarwal@example.in,4
25,Dr. Vandana Joshi,Endocrinologist,dr..vandana.joshi@example.in,7
26,Dr. Harsh Mehta,Endocrinologist,dr..harsh.mehta@example.in,7
27,Dr. Snehal Pawar,Endocrinologist,dr..snehal.pawar@example.in,32
28,Dr. Yashwant Rane,Ophthalmologist,dr..yashwant.rane@example.in,31
29,Dr. Anusha Pillai,Ophthalmologist,dr..anusha.pillai@example.in,30
30,Dr. Kunal Bhosale,Ophthalmologist,dr..kunal.bhosale@example.in,23
31,Dr. Rohan Shetty,ENT Specialist,dr..rohan.shetty@example.in,33
32,Dr. Ishita Ghosh,ENT Specialist,dr..ishita.ghosh@example.in,34
33,Dr. Ajay Bhaskar,ENT Specialist,dr..ajay.bhaskar@example.in,20
34,Dr. Bhavesh Patel,Urologist,dr..bhavesh.patel@example.in,27
35,Dr. Lata Iyer,Urologist,dr..lata.iyer@example.in,11
36,Dr. Ashok Raghavan,Urologist,dr..ashok.raghavan@example.in,23
37,Dr. Namrata Das,Gastroenterologist,dr..namrata.das@example.in,29
38,Dr. Mohan Krishnan,Gastroenterologist,dr..mohan.krishnan@example.in,32
39,Dr. Sheetal Jadhav,Gastroenterologist,dr..sheetal.jadhav@example.in,33
40,Dr. Farhan Qureshi,Pulmonologist,dr..farhan.qureshi@example.in,35
41,Dr. Shreya Chatterjee,Pulmonologist,dr..shreya.chatterjee@example.in,8
42,Dr. Prakash Bansal,Pulmonologist,dr..prakash.bansal@example.in,12
43,Dr. Revathi Menon,Rheumatologist,dr..revathi.menon@example.in,31
44,Dr. Deepesh Rao,Rheumatologist,dr..deepesh.rao@example.in,26
45,Dr. Ankit Saxena,Rheumatologist,dr..ankit.saxena@example.in,34
